title, version, file, url
awesome, 22.01.10, arcolinuxb-awesome-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-awesome-v22.01.10-x86_64.iso
bspwm, 22.01.10, arcolinuxb-bspwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-bspwm-v22.01.10-x86_64.iso
budgie, 22.01.10, arcolinuxb-budgie-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-budgie-v22.01.10-x86_64.iso
cinnamon, 22.01.10, arcolinuxb-cinnamon-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-cinnamon-v22.01.10-x86_64.iso
cutefish, 22.01.10, arcolinuxb-cutefish-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-cutefish-v22.01.10-x86_64.iso
cwm, 22.01.10, arcolinuxb-cwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-cwm-v22.01.10-x86_64.iso
deepin, 22.01.10, arcolinuxb-deepin-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-deepin-v22.01.10-x86_64.iso
dwm, 22.01.10, arcolinuxb-dwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-dwm-v22.01.10-x86_64.iso
fvwm3, 22.01.10, arcolinuxb-fvwm3-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-fvwm3-v22.01.10-x86_64.iso
gnome, 22.01.10, arcolinuxb-gnome-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-gnome-v22.01.10-x86_64.iso
hlwm, 22.01.10, arcolinuxb-hlwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-hlwm-v22.01.10-x86_64.iso
i3, 22.01.10, arcolinuxb-i3-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-i3-v22.01.10-x86_64.iso
icewm, 22.01.10, arcolinuxb-icewm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-icewm-v22.01.10-x86_64.iso
jwm, 22.01.10, arcolinuxb-jwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-jwm-v22.01.10-x86_64.iso
leftwm, 22.01.10, arcolinuxb-leftwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-leftwm-v22.01.10-x86_64.iso
lxqt, 22.01.10, arcolinuxb-lxqt-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-lxqt-v22.01.10-x86_64.iso
mate, 22.01.10, arcolinuxb-mate-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-mate-v22.01.10-x86_64.iso
openbox, 22.01.10, arcolinuxb-openbox-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-openbox-v22.01.10-x86_64.iso
plasma, 22.01.10, arcolinuxb-plasma-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-plasma-v22.01.10-x86_64.iso
qtile, 22.01.10, arcolinuxb-qtile-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-qtile-v22.01.10-x86_64.iso
spectrwm, 22.01.10, arcolinuxb-spectrwm-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-spectrwm-v22.01.10-x86_64.iso
ukui, 22.01.10, arcolinuxb-ukui-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-ukui-v22.01.10-x86_64.iso
wmderland, 22.01.10, arcolinuxb-wmderland-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-wmderland-v22.01.10-x86_64.iso
xfce, 22.01.10, arcolinuxb-xfce-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-xfce-v22.01.10-x86_64.iso
xmonad, 22.01.10, arcolinuxb-xmonad-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-xmonad-v22.01.10-x86_64.iso
xtended, 22.01.10, arcolinuxb-xtended-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxb-xtended-v22.01.10-x86_64.iso
arcolinuxd, 22.01.10, arcolinuxd-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxd-v22.01.10-x86_64.iso
arcolinuxl, 22.01.10, arcolinuxl-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxl-v22.01.10-x86_64.iso
arcolinuxs-lts, 22.01.10, arcolinuxs-lts-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxs-lts-v22.01.10-x86_64.iso
arcolinuxs, 22.01.10, arcolinuxs-v22.01.10-x86_64.iso, https://ant.seedhost.eu/arcolinux/iso/v22.01.10/arcolinuxs-v22.01.10-x86_64.iso
